WARC DESCRIPTION	SET IDENTIFIER	PACKED (BYTES)	PACKED (TB)	UNPACKED (TB)	STAGE 1	STAGE 2	STAGE 3	YIELD	
Summer 2013	CC-MAIN-2013-20	30645585534530	30.6	102	116649	116649	49154	42.14%	
Winter 2013	CC-MAIN-2013-48	35108456192450	35.1	148	145142	145142	48566	33.46%	
March 2014	CC-MAIN-2014-10	36487973193020	36.5	223	179943	179943	59517	33.08%	
April 2014	CC-MAIN-2014-15	41202834231500	41.2	183	229916	229916	71185	30.96%	
July 2014	CC-MAIN-2014-23	59249591239586	59.2	266	283874	283874	96349	33.94%	
August 2014	CC-MAIN-2014-35	46633461334359	46.6	200	236082	236082	78007	33.04%	
September 2014	CC-MAIN-2014-41	48995684234033	48.9	220	238769	238764	77211	32.34%	
October 2014	CC-MAIN-2014-42	59056929484649	59.1	254	340991	340991	124298	36.45%	
November 2014	CC-MAIN-2014-49	31370769012065	31.4	135	182947	182947	60576	33.11%	
December 2014	CC-MAIN-2014-52	35184894556144	35.2	160	162565	162565	51499	31.68%	
			423.8	1891	2116878	2116873	716362	34.02%	
									
						DEDUP			
